ticker,earnings_date,fiscalDateEnding,reportedEPS,estimatedEPS,surprise,surprisePercentage
QCOM,2023-02-02,2022-12-31,2.37,2.34,0.03,1.2821
QCOM,2022-11-02,2022-09-30,3.13,3.13,0,0
QCOM,2022-07-27,2022-06-30,2.96,2.87,0.09,3.1359
QCOM,2022-04-27,2022-03-31,3.21,2.91,0.3,10.3093
QCOM,2022-02-02,2021-12-31,3.23,3.01,0.22,7.309
QCOM,2021-11-03,2021-09-30,2.55,2.26,0.29,12.8319
QCOM,2021-07-28,2021-06-30,1.92,1.68,0.24,14.2857
QCOM,2021-04-28,2021-03-31,1.9,1.67,0.23,13.7725
QCOM,2021-02-03,2020-12-31,2.17,2.1,0.07,3.3333
QCOM,2020-11-04,2020-09-30,1.45,1.17,0.28,23.9316
QCOM,2020-07-29,2020-06-30,0.86,0.71,0.15,21.1268
QCOM,2020-04-29,2020-03-31,0.88,0.78,0.1,12.8205
QCOM,2020-02-05,2019-12-31,0.99,0.85,0.14,16.4706
QCOM,2019-11-06,2019-09-30,0.78,0.71,0.07,9.8592
QCOM,2019-07-31,2019-06-30,0.8,0.75,0.05,6.6667
QCOM,2019-05-01,2019-03-31,0.77,0.72,0.05,6.9444
QCOM,2019-01-30,2018-12-31,1.2,1.09,0.11,10.0917
TXN,2025-10-21,2025-09-30,1.57,1.49,0.08,5.3691
TXN,2025-07-22,2025-06-30,1.41,1.37,0.04,2.9197
TXN,2025-04-23,2025-03-31,1.28,1.1,0.18,16.3636
TXN,2025-01-23,2024-12-31,1.3,1.23,0.07,5.6911
TXN,2024-10-22,2024-09-30,1.47,1.37,0.1,7.2993
TXN,2024-07-23,2024-06-30,1.22,1.16,0.06,5.1724
TXN,2024-04-23,2024-03-31,1.2,1.07,0.13,12.1495
TXN,2024-01-23,2023-12-31,1.49,1.47,0.02,1.3605
TXN,2023-10-24,2023-09-30,1.85,1.84,0.01,0.5435
TXN,2023-07-25,2023-06-30,1.87,1.76,0.11,6.25
TXN,2023-04-25,2023-03-31,1.85,1.8,0.05,2.7778
TXN,2023-01-24,2022-12-31,2.19,2.03,0.16,7.8818
TXN,2022-10-25,2022-09-30,2.56,2.42,0.14,5.7851
